,Adverbs,Articles,Conjunctions,First-person plural,Indefinite pronouns,Negations,Numbers,Prepositions,Quantifiers,Second person,Third-person plural,Third-person singular,Total pronouns,Words >6 letters,adj_arg_ovl,adj_cw_ovl,adj_stem_ovl,adjectives,arg_ovl,cm.DESPL,cm.DESSC,cm.DESSL,cm.DESWC,cm.DESWLsyd,cm.LDTTRa,cm.LDTTRc,cm.LDVOCD,cm.LSAGN,cm.RDFKGL,cm.SMCAUSwn,conn_incidence,hypernyms_verbs,liwc.i,liwc.money,lsa.similarity,message.depth,message.reply.cnt,message.sim.next,message.sim.prev,mod_per_np,negation_incidence,ner.entity.cnt,nouns,np_incidence,paragraphs,personal_pronouns,pronouns,stem_ovl,syllables_per_content_word,verbs,words_before_main_verb,classe
884,5,12,3,0,3,2,1,10,2,0,2,2,0,13,3.0,4.0,5.0,30303,3.0,2.0,2,33.5,66,1001,662,3.52E+16,3.52E+16,708,4.3069E+16,12.0,151515,444,0,0,462,1,0,903,7.91E+15,706,30303,0,227273,2.49756E+16,1,0.0,106061,5.0,2781,151515,3.0,2
885,18,36,21,0,5,1,3,36,5,0,3,3,14,68,917,1.417E+16,1.667E+16,5.5944E+16,7.44E+15,1364,14,2.1214E+16,286,1183,536,3.47E+16,3.47E+16,815,48341,20545,125874,514,0,0,519,1,0,912,903,409,3497,6,2.86713E+16,3.49633E+16,5,0.0,94406,1.333E+16,2766,15035,4077,2
886,14,17,16,0,2,1,3,16,3,0,4,4,1,37,275,3.0,3.5,61728,1.8,1.0,5,33.0,162,1112,579,3.43E+16,3.43E+16,7.09E+15,4614,31545,141975,792,0,0,616,1,0,644,912,341,6.173E+15,2,277778,329001,2,0.0,74074,3.6,2.649E+16,148148,6.6,2
887,2,1,2,0,0,0,0,2,1,0,0,0,2,4,0.0,0.0,0.0,5.5556E+16,0.0,2.0,2,9.5,18,997,818,0.5,0.5,625,55893,0.0,277778,0.0,0,0,21,2,0,708,644,25,0.0,1,222222,125.0,1,0.0,5.5556E+16,0.0,2545,222222,2.5,0
888,1,4,3,0,1,0,0,1,0,0,1,1,0,5,0.0,0.0,0.0,71429,0.0,2.0,2,14.5,28,857,903,387,387,838,77003,15.5,2.14286E+16,25,0,0,373,2,0,381,708,273,0.0,0,250.0,3.92857E+16,1,0.0,71429,0.0,2438,142857,2.0,0
889,2,0,0,0,1,0,0,0,2,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,2.0,2,3.5,6,696,875,625,625,281,6.1983E+16,0.0,166667,0.0,0,0,43,2,0,562,381,0.0,0.0,2,333333,166667,1,0.0,166667,0.0,1.8,166667,4.0,0
890,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,1,4.0,3,1939,0.8,0.8,0.8,384,-65425,0.0,0.0,0.0,0,0,0.0,2,0,514,562,1.0,0.0,0,333333,333333,1,0.0,0.0,0.0,4.0,333333,0.0,1
891,1,2,1,0,0,0,0,2,1,0,0,0,2,2,0.0,0.0,0.0,66667,0.0,2.0,2,8.5,15,591,895,474,474,247,87928,30.0,200.0,0.0,0,0,2.91E+16,2,0,6.68E+15,514,1.0,0.0,1,2.66667E+16,76923,1,0.0,0.0,0.0,2.1,200.0,2.0,0
892,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0.0,0.0,0.0,0.0,0.0,1.0,1,7.0,6,1364,875,875,875,444,203,0.0,0.0,0.0,0,0,0.0,2,0,512,6.68E+15,0.0,0.0,1,500.0,166667,1,0.0,0.0,0.0,3.2,166667,2.0,0
893,1,3,1,0,1,0,0,4,0,0,0,0,1,5,0.0,0.0,0.0,47619,0.0,2.0,2,11.5,21,1131,0.8,52,52,542,5.5877E+16,26.0,95238,0.5,0,0,261,3,0,489,512,25,0.0,2,380952,571429,1,0.0,95238,0.0,275,95238,8.0,1
894,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,1.0,1,5.0,4,1155,833,833,833,37,-1004,0.0,0.0,0.0,0,0,0.0,2,0,606,489,0.0,0.0,2,500.0,250.0,1,0.0,250.0,0.0,3.0,250.0,0.0,1
895,1,3,1,0,1,0,0,1,1,0,0,0,3,4,0.0,0.0,0.0,0.0,0.0,4.0,4,5.5,21,872,741,4.81E+16,4.81E+16,7.07E+15,70024,2.8333E+16,95238,2.0,0,0,12,2,0,728,606,4.17E+16,0.0,1,380952,311111,1,0.0,95238,0.0,2.308E+16,142857,1.0,1
896,0,2,1,0,0,0,0,2,1,0,0,0,3,2,0.0,0.0,0.0,5.5556E+16,0.0,3.0,3,6.0,19,924,7.39E+15,522,522,575,8245,3525,5.5556E+16,1.0,0,0,1.08E+16,2,0,747,728,3.33E+16,0.0,1,333333,9375,1,0.0,0.0,0.0,2.067E+16,277778,3.0,0
897,3,4,2,0,0,0,0,4,1,0,0,0,2,3,0.0,0.0,0.0,62.5,0.0,5.0,5,6.6,32,635,718,436,436,722,86155,2.4667E+16,125.0,7.14E+15,0,0,273,2,0,794,747,2.86E+16,0.0,1,21875,308642,1,3125,62.5,3.33E+16,2158,21875,1.667E+16,1
898,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,9.0909E+15,0.0,2.0,2,6.0,11,8.11E+15,857,0.5,0.5,364,65854,30.5,9.0909E+15,0.0,0,0,166,2,0,5.53E+15,794,0.0,0.0,1,2.72727E+16,1.81818E+16,1,9.0909E+15,9.0909E+15,0.0,2.143E+16,2.72727E+16,5.0,1
899,7,7,2,0,2,1,0,4,1,0,1,1,2,6,1.0,0.0,0.0,2.0833E+16,1.0,3.0,3,17.0,48,8.27E+15,7.76E+15,4.48E+16,4.48E+16,784,65905,26375,166667,0.4,0,0,2.83E+16,2,0,586,5.53E+15,479,2.0833E+16,1,208333,2.21212E+16,1,0.0,62.5,0.0,2214,229167,6.5,0
