,Adverbs,Articles,Conjunctions,First-person plural,Indefinite pronouns,Negations,Numbers,Prepositions,Quantifiers,Second person,Third-person plural,Third-person singular,Total pronouns,Words >6 letters,adj_arg_ovl,adj_cw_ovl,adj_stem_ovl,adjectives,arg_ovl,cm.DESPL,cm.DESSC,cm.DESSL,cm.DESWC,cm.DESWLsyd,cm.LDTTRa,cm.LDTTRc,cm.LDVOCD,cm.LSAGN,cm.RDFKGL,cm.SMCAUSwn,conn_incidence,hypernyms_verbs,liwc.i,liwc.money,lsa.similarity,message.depth,message.reply.cnt,message.sim.next,message.sim.prev,mod_per_np,negation_incidence,ner.entity.cnt,nouns,np_incidence,paragraphs,personal_pronouns,pronouns,stem_ovl,syllables_per_content_word,verbs,words_before_main_verb,classe
867,299,995,498,0.0,299,1.0,348,1393,249,299,0.0,0.5,796,2537,316,61,263,547,159,20,20,10.1,202,9.18E+15,574,748,7.4966E+15,247,6981,595,74257,1838,149,0.0,589838333,1,1,439,0.0,767,9901,45,287128,3.81188E+16,1,498,49505,172,1579,118811,1.4,2
868,321,872,459,46,596,46,92,1239,275,46,92,0.0,963,3119,231,75,308,642,2.24E+16,14,14,15786,221,9.67E+15,602,785,121242,244,1.0697E+16,327,58824,1585,183,92,5.56839E+15,1,1,483,0.0,1189,4525,49,226245,316742,1,367,4.5249E+16,259,1706,1.13122E+16,1357,3
869,797,942,652,0.0,362,145,145,1232,72,362,0.0,0.0,1087,2391,0.2,21,0.0,362,267,6,6,23.0,138,1035,688,8.59E+15,10415,146,12366,529,8.6957E+15,1801,362,0.0,811873319,1,1,406,0.0,769,7246,26,2.46376E+16,3.55072E+16,1,725,8.6957E+15,267,1609,123189,2667,2
870,10.0,12.5,2.5,0.0,5.0,0.0,0.0,15.0,2.5,0.0,0.0,0.0,7.5,20.0,667,12,667,2.5,3.33E+16,4,4,1025,41,897,0.8,917,0.0,98,6544,607,0.0,123,2.5,0.0,5.01217E+15,1,1,249,0.0,462,0.0,7,268293,390244,1,2.5,73171,3.33E+16,1537,12195,0.5,1
871,382,573,5.1,0.0,637,64,127,1338,637,127,255,0.0,12.1,2484,833,53,667,701,429,7,7,2.2286E+16,156,9.31E+15,6.56E+15,809,112161,203,1.1639E+16,3.62E+16,6.4103E+15,139,191,127,71389913,2,0,0.0,25,0.7,0.0,38,301282,403846,1,573,70513,3.33E+16,1571,108975,4.0,4
872,633,1392,759,0.0,253,0.0,0.0,1139,253,253,0.0,0.0,886,1772,667,113,3.33E+16,253,3.33E+16,4,4,1975,79,972,7.09E+15,889,0.0,1.16E+16,10037,4.48E+16,8.8608E+15,1672,3.8,0.0,504837861,1,1,2.36E+16,0.0,8.64E+15,0.0,16,240507,3.79747E+16,1,633,75949,1.67E+16,1.519E+16,151898,2.0,1
873,4.9,327,653,0.0,857,163,82,1429,122,122,41,0.0,1224,2939,273,3.7E+16,273,327,308,12,12,2025,243,1031,622,816,125928,2.32E+16,1.2072E+16,442,78189,1726,204,82,772852324,2,0,0.0,485,828,16461,58,288066,366255,1,367,57613,292,1675,1.35802E+16,2417,4
874,769,308,462,0.0,308,154,0.0,1231,308,308,154,154,1077,2769,0.0,0.0,0.0,615,0.2,5,5,12.4,62,1001,9.23E+15,976,0.0,1.01E+16,9235,636,48387,1932,154,0.0,295605173,2,0,0.0,249,737,16129,18,3.06451E+16,419355,1,769,96774,0.1,1694,145161,3.8,2
875,402,2.3,776,0.0,517,86,259,1236,316,2.3,86,0.0,862,3161,684,95,684,805,434,20,20,17.2,344,1071,5.48E+15,722,1.49788E+16,273,11839,546,87209,1726,29,0.0,731173225,2,0,0.0,439,7.83E+15,8721,89,2.81977E+16,3.28488E+16,1,345,5.5233E+16,462,1756,136629,2.4,4
876,1064,213,851,0.0,0.0,0.0,426,851,1064,0.0,213,0.0,426,2979,0.0,5.8E+16,0.0,426,0.0,4,4,1175,47,867,83,871,0.0,7.4E+15,8581,0.5,2.1277E+16,1577,213,0.0,850243128,1,1,138,0.0,1091,0.0,12,297872,319149,1,426,4.2553E+16,0.0,166,8.5107E+15,25,1
